Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Stan Getz	In Stockholm	(3, None)	 I Don't Stand A Ghost Of A Chance With You	Stan Getz	In Stockholm	I Don't Stand A Ghost Of A Chance With You	True	True	True
Stan Getz	In Stockholm	(7, None)	 Get Happy	Stan Getz	In Stockholm	Get Happy	True	True	True
Stan Getz	In Stockholm	(4, None)	 I Can't Believe That You're In Love With Me	Stan Getz	In Stockholm	I Can't Believe That You're In Love With Me	True	True	True
Stan Getz	In Stockholm	(5, None)	 Everything Happens To Me	Stan Getz	In Stockholm	Everything Happens To Me	True	True	True
Stan Getz	In Stockholm	(8, None)	 Jeepers Creepers	Stan Getz	In Stockholm	Jeepers Creepers	True	True	True
Stan Getz	In Stockholm	(6, None)	 Over The Rainbow	Stan Getz	In Stockholm	Over The Rainbow	True	True	True
Stan Getz	In Stockholm	(2, None)	 Without A Song	Stan Getz	In Stockholm	Without A Song	True	True	True
Stan Getz	In Stockholm	(1, None)	 Indiana	Stan Getz	In Stockholm	Indiana	True	True	True
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Stan Getz - Zoot Sims - Al Cohn - Alan Eager - Brew Moore	The Brothers	(2, None)	 Five Brothers (Alternate Take)	Stan Getz-Zoot Sims-Al Cohn- Alan Eager - Brew Moore	The Brothers	Five Brothers (Alternate Take)	False	True	True
Stan Getz - Zoot Sims - Al Cohn - Alan Eager - Brew Moore	The Brothers	(3, None)	 Battle Of The Saxes	Stan Getz-Zoot Sims-Al Cohn- Alan Eager - Brew Moore	The Brothers	Battle Of The Saxes	False	True	True
Stan Getz - Zoot Sims - Al Cohn - Alan Eager - Brew Moore	The Brothers	(5, None)	 Four And One Moore (Alternate Take)	Stan Getz-Zoot Sims-Al Cohn- Alan Eager - Brew Moore	The Brothers	Four And One Moore (Alternate Take)	False	True	True
Stan Getz - Zoot Sims - Al Cohn - Alan Eager - Brew Moore	The Brothers	(7, None)	 Battleground (Alternate Take)	Stan Getz-Zoot Sims-Al Cohn- Alan Eager - Brew Moore	The Brothers	Battleground (Alternate Take)	False	True	True
Stan Getz - Zoot Sims - Al Cohn - Alan Eager - Brew Moore	The Brothers	(9, None)	 Zootcase	Stan Getz-Zoot Sims-Al Cohn- Alan Eager - Brew Moore	The Brothers	Zootcase	False	True	True
Stan Getz - Zoot Sims - Al Cohn - Alan Eager - Brew Moore	The Brothers	(4, None)	 Four And One Moore	Stan Getz-Zoot Sims-Al Cohn- Alan Eager - Brew Moore	The Brothers	Four And One Moore	False	True	True
Stan Getz - Zoot Sims - Al Cohn - Alan Eager - Brew Moore	The Brothers	(1, None)	 Five Brothers	Stan Getz-Zoot Sims-Al Cohn- Alan Eager - Brew Moore	The Brothers	Five Brothers	False	True	True
Stan Getz - Zoot Sims - Al Cohn - Alan Eager - Brew Moore	The Brothers	(10, None)	 Tangerine	Stan Getz-Zoot Sims-Al Cohn- Alan Eager - Brew Moore	The Brothers	Tangerine	False	True	True
Stan Getz - Zoot Sims - Al Cohn - Alan Eager - Brew Moore	The Brothers	(11, None)	 Morning Sun	Stan Getz-Zoot Sims-Al Cohn- Alan Eager - Brew Moore	The Brothers	Morning Sun	False	True	True
