Artist 	 Album
Art Pepper	Unreleased Art Vol. Vi, Blues For The Fisherman
Art Pepper	Unreleased Art Vol. Vi, Blues For The Fisherman
Art Pepper	Unreleased Art Vol. Vii, Osaka
Art Pepper	Unreleased Art Vol. Vii, Osaka
Art Pepper	Unreleased Art Vol. Vii, Osaka
Art Pepper	Unreleased Art Vol. Viii, Live At The Winery
Art Pepper & Ted Brown Feat. Warne Marsh	The Complete Freewheeling Sessions
Art Pepper - Zoot Sims	Art 'N' Zoot
Art Pepper Quartet	California Cool. Blue Note West Coast Jazz Sampler
Art Pepper With Shorty Rogers Nine	California Cool. Blue Note West Coast Jazz Sampler
Art Tatum	Art Tatum Ben Webster Quartet
Art Tatum	Complete Brunswick & Decca Recordings 1932 - 1941
Art Tatum	Complete Decca And Brunswick Recordings 1932 - 1941 Cd1
Art Tatum	Complete Decca And Brunswick Recordings 1932 - 1941 Cd2
Art Tatum	The Genius Of Keyboard
Arthur Blythe	Basic Blythe
Artie Shaw	The Last Recordings Rare And Unreleased, Vol I
Artie Shaw	The Last Recordings, Rare And Unreleased, Vol. Ii
Bab'S Three Bips And A Bop	Bebop Spoken Here - Disc 2 (Confirmation)
Babs Gonzales & His Orchestra	Bebop Spoken Here_ Tempus Fugit
Barney Kessel	Barney Kessel Plays Standards
Barney Kessel	Easy Like
Barney Kessel	Music To Listen To Barney Kessel By
Barney Kessel	Original Jazz Classics Collection
Barney Kessel	The Poll Winners_ Barney Kessel With Shelly Manne And Ray Brown
Barney Kessel	To Swing Or Not To Swing
Barney Kessel, Shelly Manne & Ray Brown	Poll Winners Three!
Ben Clatworthy	Live
Ben Clatworthy	Tercet
Ben Webster	Ben & Teddy
Benny Bailey	For Heaven'S Sake
Benny Carter	Aspects
Benny Carter	Jazz Giant
Benny Carter, Charlie Parker, Ben Webster, Johnny Hodges, Flip Phillips	Super Session
Benny Golson	Gone With Golson
Benny Goodman	The Famous 1938 Carnegie Hall Jazz Concert
Benny Goodman	The Famous 1938 Carnegie Hall Jazz Concert, Disc 2
Benny Goodman & His Orchestra	Bebop Spoken Here_ Tempus Fugit
Benny Goodman Septet	Bebop Spoken Here - How High The Moon
Benny Goodman Septet	Bebop Spoken Here_ Tempus Fugit
Bernie Mcgann	Blues For Pablo Too
Bernie Mcgann	Bundeena
Bernie Mcgann	Double Dutch
Bernie Mcgann	Kindred Spirits
Bernie Mcgann	Live At Side On
Bernie Mcgann	Mcgann
Bernie Mcgann	Playground
Bernie Mcgann	Solar
Bernie Mcgann	Ugly Beauty
Bernie Mcgann	Wending
Bernie Mcgann	Wending
Bernie Mcgann	Wending
Bill Coleman	Bill Coleman Meets Guy Lafitte
Bill Evans	Bill Evans At Town Hall
Bill Evans	Blue In Green
Bill Evans	Everybody Digs Bill Evans
Bill Evans	New Jazz Conceptions
Bill Evans & Jim Hall	Undercurrent (Remaster)
Bill Evans And Jim Hall	Undercurrent
Bill Evans And Lee Konitz	Together Again
Bill Evans Trio	Portrait In Jazz
Bill Evans Trio	Sunday At The Village Vanguard
Bill Perkins	Lester Young'S Disciples
Bill Perkins & Richie Kamuca	Tenors Head On
Billie Holiday	Don´T Explain
Billie Holiday	Long Gone Holiday
Billie Holiday	The Legend Of Billie Holliday
Billie Holiday And Lester Young	Complete Billie Holiday Lester Young 1937-1946
Billy Eckstine & Orchestra	Bebop Spoken Here - Disc 1 (Disorder At The Border)
Billy May Orchestra	California Cool. Blue Note West Coast Jazz Sampler
Blakey, Art & The Jazz Messengers	Olympia 13.05.1961 (Paris Jazz Concert Highlights)
Blue Mitchell	A Sure Thing
Blue Mitchell	Blue Soul
Blue Mitchell	Blue'S Moods
Blue Mitchell	Boss Horn
Blue Mitchell	Smooth As The Wind
Blue Mitchell	The Cup Bearers
Blue Mitchell	The Thing To Do
Bluesianatriangle	Bluesianatriangle
Bob Brookmeyer & Bill Evans	The Ivory Hunters
Bob Cooper	Lester Young'S Disciples
Bob Gordon With Jack Montrose	California Cool. Blue Note West Coast Jazz Sampler
Bobby Jaspar	Lester Young'S Disciples
Bobby Troup	California Cool. Blue Note West Coast Jazz Sampler
Bobby Wellins	Bbc Radio Broadcasts
Bobby Wellins	Birds Of Brazil
Bobby Wellins	Don'T Worry 'Bout Me
Bobby Wellins	Dreams Are Free
Bobby Wellins	Fun
Bobby Wellins	Live At The Lemon Tree 1999
Bobby Wellins	Live Jubilation
Bobby Wellins	Making Light Work
