Artist 	 Album
Don Weller Spring Quartet	Commit No Nuisance
Donald Byrd	A New Perspective
Donald Byrd	At The Half Note Cafe Volume 2 (Remaster)
Donald Byrd	Byrd In Flight
Donald Byrd	Byrd In Hand
Donald Byrd	Byrd In Paris Vol 1
Donald Byrd	Byrd'S Word
Donald Byrd	Free Form
Donald Byrd	Fuego
Donald Byrd	Long Green
Donald Byrd	Motor City Scene
Donald Byrd	Off To The Races
Donald Byrd	Royal Flush
Donald Byrd	The Cat Walk
Donald Byrd - Pepper Adams	In A Soulful Mood
Donald Byrd And Gigi Gryce	The Complete Jazz Lab Sessions - Cd1
Donald Byrd And Gigi Gryce	The Complete Jazz Lab Sessions - Cd2
Donald Byrd And Gigi Gryce	The Complete Jazz Lab Sessions - Cd3
Donald Byrd And Gigi Gryce	The Complete Jazz Lab Sessions - Cd4
Donald Byrd Pepper Adams Quintet Feat. Herbie Hancock	Touchstone
Donald Byrd Quintet	Parisian Thoroughfare [Jazz In Paris 05]
Duke Ellington	Concert In The Virgin Islands
Duke Ellington	Ellington Uptown
Duke Ellington	Essential
Duke Ellington	Great Original Performances
Duke Ellington	The Afro-Eurasian Eclipse
Duke Ellington	The Minor Goes Muggin'
Duke Ellington	Top Jazz
Duke Ellington	Vol. 046 - Duke Ellington And His Famous Orchestra - 1932-1941
Duke Ellington	With A Touch Of Class (Disc 1)
Duke Ellington	With A Touch Of Class (Disc 2)
Duke Ellington & John Coltrane	Duke Ellington & John Coltrane
Duke Ellington And Johnny Hodges	Side By Side
Duke Ellington, Charles Mingus, & Max Roach	Money Jungle
Duke Jordan	Flight To Jordan
Duke Pearson	Prairie Dog
Duke Pearson	The Right Touch
Eddie 'Lockjaw' Davis	Afro-Jaws
Eddie 'Lockjaw' Davis	All Of Me
Eddie 'Lockjaw' Davis	Bacalao
Eddie 'Lockjaw' Davis	Cookbook, Vol. 1
Eddie 'Lockjaw' Davis	Jaws Strikes Again
Eddie 'Lockjaw' Davis	Jazz At The Philharmonic
Eddie 'Lockjaw' Davis	Simply Sweets
Eddie 'Lockjaw' Davis	Smokin'
Eddie 'Lockjaw' Davis	Sweets And Jaws
Eddie 'Lockjaw' Davis	Swingin' Till The Girls Come Home
Eddie 'Lockjaw' Davis	The Complete Cookbook Sessions
Eddie 'Lockjaw' Davis	The Heavy Hitter
Eddie 'Lockjaw' Davis	Very Saxy
Eddie Costa	Guys And Dolls Like Vibes
Eddie Daniels	To Bird With Love
Eddie Daniels And Gary Burton	Benny Rides Again
Eddie Harris	The Electrifying Eddie Harris _ Plug Me In
Eddie Jefferson	Charlie Parker Memorial Concert
Eddie Jefferson	Vocal Ease
Eddie Lockjaw Davis And Johhny Griffin	The Complete Sessions
Eddie Parker	Transformations Of The Lamp
Eddie _Cleanhead_ Vinson	Bosses Of The Blues (Vol. 2)
Egil Kapstad	Epilog_ Elegy For Bill Evans
Eirc Dolphy And Ken Mcintyre	Out There -Lookin' Ahead
Ella Fitzgerald	Bebop Spoken Here - Disc 2 (Confirmation)
Ella Fitzgerald	Bebop Spoken Here_ Tempus Fugit
Ella Fitzgerald	Ken Burns Jazz
Ella Fitzgerald	Live In Stockholm 1957
Ella Fitzgerald	The Complete Recordings 1935-1937 - Cd1
Elmo Hope	Here'S Hope
Elmo Hope	High Hope
Elmo Hope	Hope Meets Foster
Elmo Hope	Informal Jazz
Elmo Hope	Meditations
Elmo Hope	Trio And Quintet
Elmore James	The Master Of The Slide Guitar
Elvin Jones And Jimmy Garrison	Illumination
Eric Alexander	It'S All In The Game
Eric Alexander	Prime Time
Eric Alexander	Revival Of The Fittest
Eric Alexander	Two Of A Kind
Eric Dolphy	Eric Dolphy & Mal Waldron - The Quest
Eric Dolphy	Eric Dolphy & Mal Waldron - The Quest
Eric Dolphy	Eric Dolphy & Oliver Nelson - Straight Ahead
Eric Dolphy	Out To Lunch
Eric Dolphy	The Illinois Concert
Erich Kleinschuster Sextet	Joe Henderson, Carmell Jones, Clifford Jordan
Erich Kleinschuster Sextet	Joe Henderson, Carmell Jones, Clifford Jordan
Erich Kleinschuster Sextet	Joe Henderson, Carmell Jones, Clifford Jordan
Esquire Five	Bebop In Britain - Limbering Up - The First Sessions
Etc & Jerry Bergonzi	Etc Plus One
Fats Navarro	At The Royal Roost
Fats Navarro	Bebop Spoken Here - How High The Moon
Fats Navarro	Double Talk
Fats Navarro	Fats Blows
Fats Navarro	Nostalgia
Fats Navarro	The Bebop Boys
Fats Navarro	The Fats Navarro Story
Fionna Duncan	The Ca Va Session
Flip Phillips	Claw-Live At The Floating Jazz Festival
Flip Phillips	Flip
Flip Phillips	Flip Wails
Flip Phillips	Swinging With Flip
Flip Phillips	The Flip Phillips - Buddy Rich Trio
Fortuna, Pricso And Scattaretico	Scola Tristano
Frank Lowe	Fresh
Frank Minion	The Soft Land Of Make Believe
Frank Morgan And Gigi Gryce	Bird Calls
Frank Roberscheuten	Three Wise Men
Frank Socolow'S Duke Quintet	Bebop Spoken Here - Disc 1 (Disorder At The Border)
Freddie Green - Al Cohn	Natual Rhythm
Freddie Hubbard	A Soul Experiment
Freddie Hubbard	Backlash
Freddie Hubbard	Blue Spirits
Freddie Hubbard	Born To Be Blue
Freddie Hubbard	Breaking Point
Freddie Hubbard	First Light
Freddie Hubbard	Live In Warsaw
Freddie Hubbard	Minor Mishap
Freddie Hubbard	Night Of The Cookers Live At Club La Marchal - Vol 2
Freddie Hubbard	Open Sesame
Freddie Hubbard	Red Clay
Freddie Hubbard	Sing Me A Song Of Songmy
Freddie Hubbard	Straight Life
Freddie Hubbard	The Artistry Of Freddie Hubbard
Freddie Hubbard	The Night Of The Cookers - Live At Club La Marchal
Freddie Redd	Music From The Connection
Gary Burton	A Genuine Tong Funeral
Gene Ammons	A Stranger In Town
Gene Ammons	Angel Eyes
Gene Ammons	Blue Gene
Gene Ammons	Boss Tenor
Gene Ammons	Funky
Gene Ammons	Jug & Dodo
Gene Ammons	Late Hour Special
Gene Ammons	Lester Young'S Disciples
Gene Ammons	Preachin'
Gene Ammons	Soul Summit
Gene Ammons	The Big Sound
Gene Ammons	The Boss Is Back!
Gene Ammons	The Happy Blues
Gene Ammons	Up Tight!
Gene Ammons	Young Jug
Gene Ammons & James Moody	Chicago Concert
Gene Ammons & Sonny Stitt	Boss Tenors
Gene Ammons - Tom Archia	Bebop Spoken Here_ Tempus Fugit
Gene Krupa & His Orchestra	Bebop Spoken Here - Disc 2 (Confirmation)
Geoff Simkins - Dave Cliff Quartet	Lemon Tree Vol 1
Geoff Simkins - Dave Cliff Quartet	Live At Lemon Tree Vol 2
George Auld & Orchestra	Bebop Spoken Here - Disc 1 (Disorder At The Border)
George Benson	Witchcraft
George Cables	Unreleased Art Pepper Vol. 7_ Osaka 11-18-1980 Part 1
George Coleman	Amsterdam After Dark
George Russell And His Orchestra	Jazz In The Space Age
Georgie Fame	20 Beat Classics
Georgie Fame	Live At The Kentish Town Forum, 26Th June 1998 (Cd1)
Georgie Fame	Live At The Kentish Town Forum, 26Th June 1998 (Cd2)
Gerry Mulligan	Americans In  Sweden
Gerry Mulligan	And The Concert Jazz Band - At The Village Vanguard
Gerry Mulligan	And The Concert Jazz Big Band Feat. Zoot Sims - Zurich 1960
Gerry Mulligan	Compact Jazz - Gerry Mulligan
Gerry Mulligan	Lonesome Boulevard
Gerry Mulligan	Meets Johnny Hodges
Gerry Mulligan	My Funny Valentine (Cd )1
Gerry Mulligan	My Funny Valentine (Cd 2)
Gerry Mulligan	Quartet
Gerry Mulligan	Recorded In Boston At Storyville
Gerry Mulligan	Zurich 1962
Gerry Mulligan & Stan Getz	Getz Meets Mulligan In Hi-Fi
Gerry Mulligan Tentette	Birth Of The Cool, Vol. 2
Gerry Mulligan, Shelly Manne	California Cool. Blue Note West Coast Jazz Sampler
Gigi Gryce	Modern Jazz Perspective
Gigi Gryce	Nica'S Tempo
Gigi Gryce	Reminiscin'
Gigi Gryce	Sayin' Something
Gigi Gryce	The Hap'Nin'S
Gigi Gryce	The Rat Race Blues
Gigi Gryce	When Farmer Met Gryce
Gil Evans	Great Jazz Standards
Gil Evans	New Bottle Old Wine
Gil Evans	Where Flamingos Fly
Gil Evans - Laurent Cugny	Big Band Lumiere
Gil Evans - Laurent Cugny	Golden Hair
Gloria Woods With Pete Candoli	California Cool. Blue Note West Coast Jazz Sampler
Gordon Beck, Ron Mathewson, Daniel Humair	Jazz Trio
Grant Green	Ain'T It Funky Now!
Grant Green	Alive!
Grant Green	Am I Blue
Grant Green	Grant Green - The Complete Blue Note Recordings Of Grant Green With Sonny Clark Cd1 (1990) [Eac-Flac]
Grant Green	Grant Green - The Complete Blue Note Recordings Of Grant Green With Sonny Clark Cd2 (1990) [Eac-Flac]
Grant Green	Grant Green - The Complete Blue Note Recordings Of Grant Green With Sonny Clark Cd3 (1990) [Eac-Flac]
Grant Green	Grant Green - The Complete Blue Note Recordings Of Grant Green With Sonny Clark Cd4 (1990) [Eac-Flac]
Grant Green	Grant'S First Stand
Grant Green	Grantstand
Grant Green	Idle Moments
Grant Green	Live At Club Mozambique
Grant Green	Matador
Grant Green	Reaching Out
Grant Green	The Complete Quartet With Sonny Clark
Greg Osby	St. Louis Shoes
Guy Barker	What Love Is
Hampton Hawes	All Night Session! (Volume 1)
Hampton Hawes	Live At The Montmartre
Hampton Hawes	The Trio - Volume 1
Hampton Hawes	The Trio - Volume 2
Hampton Hawes Trio	California Cool. Blue Note West Coast Jazz Sampler
Hank Crawford	Mr. Blues
Hank Mobley	A Caddy For Daddy
Hank Mobley	Dippin'
Hank Mobley	No Room For Squares
Hank Mobley	Peckin' Time
Hank Mobley	Reach Out!
Hank Mobley	Roll Call
Hank Mobley	Soul Station
Hank Mobley	The Complete Blue Note Hank Mobley Fifties Sessions
Hank Mobley	The Complete Blue Note Hank Mobley Fifties Sessions
Hank Mobley	The Complete Blue Note Hank Mobley Fifties Sessions
Hank Mobley	The Complete Blue Note Hank Mobley Fifties Sessions
Hank Mobley	The Complete Blue Note Hank Mobley Fifties Sessions
Hank Mobley	The Complete Blue Note Hank Mobley Fifties Sessions
Hank Mobley	The Complete Blue Note Hank Mobley Fifties Sessions
Hank Mobley	The Complete Blue Note Hank Mobley Fifties Sessions
Hank Mobley	The Jazz Message Of Hank Mobley, Vol. 2
Hank Mobley	The Turnaround
Hank Mobley	Workout
Hank Mobley & Al Cohn & John Coltrane & Zoot Sims	Tenor Conclave
Hans Dulfer	Hans Dulfer Greatest (2-2)
Hans Dulfer	Hans Dulfer Greatest, Disc 1
Harold Land	The Fox
Harold Land	West Coast Blues!
Harold Land & Blue Mitchell Quintet	Mapenzi
Harold Land Quartet	Jazz At The Cellar 1958
Harold Mcnair	Harold Mcnair
Harold Vick	Steppin' Out!
Harry Allen	The Candy Men
Harry James	Embraceable You
Harry Klein	Baritone Sax
Harry Klein	Brash Baritone
Haward Mcghee	Charlie Parker Memorial Concert
Heath Brothers	Marchin' On (1975)
Herb Ellis	After You'Ve Gone
Herb Ellis	Ellis In Wonderland
Herb Ellis	Meets Jimmy Giuffre
Herb Ellis	Nothing But The Blues
Herb Ellis	Thank You Charlie Christian
Herb Geller	The Gellers
Herb Geller	The Herb Geller Sextette
Herb Geller & His Sextet	That Geller Feller
Herb Geller And Wolfgang Kohler	Moon Mist
Herbie Hancock	Empyrean Isles
Herbie Hancock	Fat Albert Rotunda
Herbie Hancock	Future Shock
Herbie Hancock	Head Hunters
Herbie Hancock	Maiden Voyage
Herbie Hancock	Sunlight
Herbie Hancock	Takin' Off
Herbie Hancock	The Piano
Herbie Hancock	Thrust
Herbie Hancock	V.S.O.P. (Disc 1)
Herbie Hancock	V.S.O.P. (Disc 2)
Herbie Steward	Lester Young'S Disciples
Here Come De Honeyman	Porgy And Bess
Horace Parlan	Happy Frame Of Mind
Horace Parlan	Up & Down
Horace Silver	Blowin' The Blues Away
Horace Silver	Horace Silver And The Jazz Messengers
Horace Silver	Safari
Horace Silver	Song For My Father
Horace Silver	The Cape Verdean Blues
Horace Silver	The Hardbop Grandpop
Horace Silver Quintet	The Stylings Of Silver
Howard Mcghee & Fats Navarro	Bebop Spoken Here - How High The Moon
Howard Mcghee Sextet With Milt Jackson	Bebop Spoken Here - How High The Moon
Human Chain	Cashin' In!
Humphey Lyttelton & His Band	Rock Me Gently
Hung Drawn Quartet	A Train In The Distance
Ike Quebec	Heavy Soul
Ike Quebec	Soul Samba
Illinois Jacquet	Birthday Party
Illinois Jacquet	Desert Winds
Illinois Jacquet	Groovin' With Jacquet
Illinois Jacquet	Here Comes Freddy
Illinois Jacquet	Illinois Jacquet Collates
Illinois Jacquet	Illinois Jacquet Flies Again
Illinois Jacquet	Lester Young'S Disciples
Illinois Jacquet	Swing'S The Thing
Illinois Jacquet	The Blues That'S Me!
Illinois Jacquet	The Comeback
Illinois Jacquet	The Illinois Jacquet Story - Disc 1
Illinois Jacquet	The Illinois Jacquet Story - Disc 2
Illinois Jacquet	The Illinois Jacquet Story - Disc 3 (It'S Wild)
Illinois Jacquet	The Illinois Jacquet Story - Dsic 4 (Groovin')
Illinois Jacquet	The Kid And The Brute
Illinois Jacquet	The King!
Illinois Jacquet	The Message
Illinois Jacquet	The Soul Explosion
Intro	In Paris Festival International De Jazz May 1949
J. J. Johnson	The Eminent Jay Jay Johnson - Vol. 1
J.R. Monterose	J.R. Monterose
Jack Mcduff	Brother Jack Meets The Boss
Jack Mcduff	Double Barrelled Soul
Jack Mcduff	Screamin'
Jack Mcduff	The Honeydripper
Jackie Mclean	A Fickle Sonance
Jackie Mclean	Action Action Action
Jackie Mclean	Bluesnik
Jackie Mclean	Capuchin Swing
Jackie Mclean	Destination... Out!
Jackie Mclean	It'S Time !
Jackie Mclean	Jackie Mclean & Co
Jackie Mclean	Jackie Mclean - A Long Drink Of The Blues (1957) [Eac-Flac]
Jackie Mclean	Jackie'S Bag
Jackie Mclean	Jackie'S Pal
Jackie Mclean	Let Freedom Ring
Jackie Mclean	Lights Out!
Jackie Mclean	Makin' The Changes
Jackie Mclean	Swing, Swang, Swingin'
Jackie Mclean & Kenny Dorham	Inta Somethin
Jackie Mclean - John Jenkins	Alto Madness
Jaco Pastorius	Jaco Pastorius
James Moody	Honey
James Moody	Just Moody - Cd 1
James Moody	Just Moody - Cd 2
James Moody	Just Moody - Cd 3
James Moody	Just Moody - Cd 4
James Moody'S Modernists	Bebop Spoken Here - How High The Moon
James Moody'S Modernists	Bebop Spoken Here_ Tempus Fugit
Janusz Carmello	A Portrait
Jay Jay Johnson'S Beboppers	Bebop Spoken Here - Disc 1 (Disorder At The Border)
Jay Jay Johnson'S Bop Quintet	Bebop Spoken Here - How High The Moon
Jazz At The Town Hall Ensemble	Bebop In Britain - Limbering Up - The First Sessions
Jazz Couriers, The	In Concert
Jazz Couriers, The	Speak Low
Jazz Couriers, The	The Couriers Of Jazz
Jazz Crusaders	Lighthouse '68
Jazz Crusaders	Uh Huh!
Jazz Jamaica	Massive
Jean Toussaint	What Goes Around
Jed Levy	Round And Round
Jerry Bergonzi	Live Gonz!
Jessica Williams	Nothin' But The Truth
Jessica Williams	The Next Step
Jessica Williams Trio	In The Pocket
Jim Hall	Concierto
Jim Hall - Buddy Collette	The Unreleased Sessions
Jim Rotondi	Hard Hittin´ At The Bird Eye
Jimmie Lunceford	Jimmie Lunceford And His Orchestra
Jimmy Deuchar	Pub Crawling With Jimmy Deuchar
Jimmy Giuffre	Historic Jazz Concert At The Music Inn
Jimmy Giuffre	Jimmy Giuffre
Jimmy Giuffre	Piece For Clarinet And String Orchestra - Mobiles
Jimmy Giuffre	Tangents In Jazz
Jimmy Giuffre	The Jimmy Giuffre Three
Jimmy Giuffre	The Sound Of Jazz
Jimmy Giuffre & Bob Cooper	Lester Young'S Disciples
Jimmy Giuffre - Andre Jaume	Eiffel
Jimmy Guiffre	California Cool. Blue Note West Coast Jazz Sampler
Jimmy Heath	Really Big!
Jimmy Knepper	Dream Dancing
Jimmy Knepper	Jazz Workshop Presents The Jimmy Knepper Quintet
Jimmy Knepper - Joe Temperley - Bobby Wellins	Special Relationship
Jimmy Raney	Together
Jimmy Smith	Cool Blues
Jimmy Smith	Go For Whatcha Know
Jimmy Smith	Home Cookin'
Jimmy Smith	House Party
Jimmy Smith	Rockin' The Boat
Jimmy Smith	The Sermon!
Jimmy Smith Jazz Set	More Jam Sessions_New York 72 Vol 2
Jimmy Witherspoon	Live At Condon'S, New York
Joe Harriott	Abstract
Joe Harriott	Free Form
Joe Harriott	High Spirits
Joe Harriott	Live At Harry'S 1963
Joe Harriott	The Joe Harriott Quintet Swings High
Joe Harriott	The Joe Harriott Story Cd1 - Out Of Nowhere
Joe Harriott	The Joe Harriott Story Cd2 - Just Goofin'
Joe Harriott	The Joe Harriott Story Cd3 - Abstract
Joe Harriott	The Joe Harriott Story Cd4 - Straight Lines
Joe Henderson	An Evening With Joe Henderson
Joe Henderson	At The Lighthouse
Joe Henderson	Four!
Joe Henderson	In 'N Out
Joe Henderson	Inner Urge
Joe Henderson	Joe Henderson In Japan
Joe Henderson	Joe Henderson With Billy Higgins, Ron Carter & Chi
Joe Henderson	Joe Henderson With Billy Higgins, Ron Carter & Chi
Joe Henderson	Lush Life (The Music Of Billy Strayhorn)
Joe Henderson	Mirror, Mirror
Joe Henderson	Mode For Joe (Rvg Edition)
Joe Henderson	Our Thing
Joe Henderson	Page One
Joe Henderson	Porgy And Bess
Joe Henderson	Punjab
Joe Henderson	Relaxin' At Camarillo
Joe Henderson	The Kicker
Joe Henderson	The Standard Joe
Joe Henderson	The State Of The Tenor Vol. 1
Joe Henderson	The State Of The Tenor Vol. 2
Joe Henderson With The Wynton Kelly Trio	Four!
Joe Lee Wilson	Feelin' Good!
Joe Lovano	I'M All For You
Joe Lovano Nonet	52Nd Street Themes (2000)
Joe Newman	All I Wanna Do Is Swing
Joe Newman	Soft Swingin´ Jazz
Joe Newman	The Midgets
Joe Newman And Zoot Sims	Locking Horns
Joe Pass	Sounds Of Synanon
Joel Frahm	Sorry, No Decaf
John Coltrane	A Love Supreme
John Coltrane	Ballads
John Coltrane	Blue Train
John Coltrane	Coltrane
John Coltrane	Coltrane For Lovers
John Coltrane	Giant Steps
John Coltrane	John Coltrane & Johnny Hartman
John Coltrane	John Coltrane & Johnny Hartman
John Coltrane	Like Sonny
John Coltrane	Lush Life
John Coltrane	My Favorite Things
John Coltrane	My Favourite Things (Compilation)
John Coltrane	The Classic Quartet Complete Impulse Studio Recordings [Box Set]
John Coltrane	The Classic Quartet Complete Impulse Studio Recordings [Box Set]
John Coltrane	The Classic Quartet Complete Impulse Studio Recordings [Box Set]
John Coltrane	The Classic Quartet Complete Impulse Studio Recordings [Box Set]
John Coltrane	The Classic Quartet Complete Impulse Studio Recordings [Box Set]
John Coltrane	The Classic Quartet Complete Impulse Studio Recordings [Box Set]
John Coltrane	The Classic Quartet Complete Impulse Studio Recordings [Box Set]
John Coltrane	The Classic Quartet Complete Impulse Studio Recordings [Box Set]
John Coltrane	The Classic Quartet Complete Impulse Studio Recordings [Box Set]
John Coltrane	The Complete Paul Chambers Sessions - Cd 1
John Coltrane	The Complete Paul Chambers Sessions - Cd 2
John Coltrane	Traneing In (Dcc Gzs-1098)
John Dankworth	The $1,000,000 Dollar Collection
John Dankworth	What The Dickens
John Lewis	The Wonderful World Of Jazz
John Patitucci	Line By Line
Johnny Dankworth (Club Xi) Quartet	Bebop In Britain - The Pace Setters
Johnny Dankworth Seven	Bebop In Britain - In All Directions
Johnny Dankworth Seven	Bebop In Britain - The Pace Setters
Johnny Griffin	A Blowing Session
Johnny Griffin	Dance Of Passion
Johnny Griffin	Do Nothing 'Til You Hear From Me
Johnny Griffin	Griff'N'Bags
Johnny Griffin	The Congregation
Johnny Griffin Orchestra	The Big Soul Band
Johnny Hodges	Not So Dukish
Johnny Scott Orchestra	London Swings
Jon Irabagon	Outright!
Jonas Kullhammar	Plays Loud For The People
Jonas Kullhammar	Salut
Jonas Kullhammar	Son Of A Drummer
Jonas Kullhammar - Kresten Osgood - Ole Morten VåGan	Andratx Live
Jonas Kullhammar Quartet With Norrbotten Big Band	Snake City North
Joseph, Julian	In Concert At The Wigmore Hall
Josh Kemp_Tim Lapthorn	Kukus
Juhani Aaltonen Trio	Mother Tongue
June Christy	California Cool. Blue Note West Coast Jazz Sampler
Junior Cook Quartet & George Coleman Octet	Stablemates
Kai Winding Sextet	Bebop Spoken Here_ Tempus Fugit
Karin Krog & Dexter Gordon	Some Other Spring
Keith Jarrett	Expectations
Keith Jarrett	Standards Live
Keith Jarrett	Standards Vol. 1
Keith Jarrett	Standards Vol. 2
Keith Jarrett	The Koln Concert
Keith Jarrett	The Out-Of-Towners
Keith Jarrett	Up For It
Ken Mcintyre	The Complete United Artists Sessions_ Cd2
Ken Mcintyre	The Complete United Artists Sessions_Ken Mcintyre
Kenny Burrell	Bluesy Burrell
Kenny Burrell	Jazzmen Detroit
Kenny Burrell	Midnight Blue
Kenny Clarke	Kenny Clarke Meets The Detroit Jazz Men
Kenny Clarke And His Fifty Second Street Boys	Bebop Spoken Here - How High The Moon
Kenny Dorham	2 Horns 2 Rhythm
Kenny Dorham	Afro Cuban
Kenny Dorham	Blue Spring
Kenny Dorham	Charlie Parker Memorial Concert
Kenny Dorham	Inta Somethin
Kenny Dorham	Jazz Contemporary
Kenny Dorham	Jazz Contrasts
Kenny Dorham	Kenny Dorham
Kenny Dorham	Kenny Dorham
Kenny Dorham	Kenny Dorham
Kenny Dorham	Kenny Dorham
Kenny Dorham	Kenny Dorham
Kenny Dorham	Kenny Dorham
Kenny Dorham	Kenny Dorham
Kenny Dorham	Kenny Dorham
Kenny Dorham	Kenny Dorham Quintet
Kenny Dorham	Matador
Kenny Dorham	Quiet Kenny
Kenny Dorham	Round About Midnight At The Cafe Bohemia Vol 1
Kenny Dorham	The Shadow Of Your Smile
Kenny Dorham	Una Mas
Kenny Dorham	West 42Nd Street
Kenny Dorham	Whistle Stop
Kenny Graham Afro-Cubists	Bebop In Britain - In All Directions
Kirk Lightsey	Kirk'N Marcus
Kurt Elling	Close Your Eyes
Kurt Elling	Live In Chicago
Larry Coryell	Laid Back & Blues
Larry Coryell	Larry Coryell Trio Yoshi'S San Francisco, 2009-02-20 (Dvda 96Khz, 24-Bit)
Larry Coryell & Emily Remler	Together
Larry Young	Unity
Lars Gullin	Baritone Sax
Lars Gullin	Decennium I BlåTon
Lars Gullin	Lars Gullin Swings
Lee Konitz	Charlie Parker Memorial Concert
Lee Konitz	Inside Hi-Fi
Lee Konitz	Jazz At Storyville
Lee Konitz	Konitz
Lee Konitz	Lee Konitz With Strings
Lee Konitz	Lee Konitz With Warne Marsh
Lee Konitz	Lullaby Of Birdland
Lee Konitz	More Live-Lee
Lee Konitz	Palo Alto
Lee Konitz	The Real Lee Konitz
Lee Konitz	Yes, Yes Nonet
Lee Konitz & Jimmy Guiffre	Lee Konitz Meets Jimmy Giuffre - Disk 2
Lee Konitz & The Gerry Mulligan Quartet	Konitz Meets Mulligan
Lee Konitz With Gerry Mulligan Quartet	California Cool. Blue Note West Coast Jazz Sampler
Lee Konitz With Mario Rusca	Where'S The Blues
Lee Konitz, Warne Marsh, Al Levitt, Peter Ind	London Concert
Lee Morgan	Candy
Lee Morgan	City Lights
Lee Morgan	Cornbread
Lee Morgan	Expoobident
Lee Morgan	Indeed!
Lee Morgan	Introducing Lee Morgan
Lee Morgan	Leeway
Lee Morgan	Search For The New Land
Lee Morgan	Sonic Boom
Lee Morgan	Take Twelve
Lee Morgan	Take Twelve
Lee Morgan	The Cooker
Lee Morgan	The Sidewinder
Lee Morgan	The Young Lions
Lee Morgan	Tom Cat
Lee Morgan	Volume 2  Sextet
Lee Morgan	Volume 3
Lennie Niehaus	Vol 1_ The Quintets
Lennie Tristano	Intuition - Cd 1_ Out On A Limb
Lennie Tristano	Intuition - Cd 2_ New Sound
Lennie Tristano	Intuition - Cd 3_ Crosscurrents
Lennie Tristano	Intuition - Cd 4_ Lennie'S Pennies
Lennie Tristano, Lee Konitz And Warne Marsh	Lennie Tristano, Lee Konitz, Warne Marsh - 1954-61 - The Complete Atlantic Recordings
Lenny Popkin	317 East 32Nd
Lenny Popkin	Lenny Popkin
Lenny Popkin	New York Moment
Lenny Popkin	Time Set
Lenny Tristano And Warne Marsh	Intuition
Leo Parker	Let Me Tell You 'Bout It
Leo Parker'S All Stars	Bebop Spoken Here - How High The Moon
Lest Young	In Washington Dc Volume Three
Lester Bowie'S Brass Fantasy	Twilight Dreams (1987)
Lester Young	Complete 1936-1949 Small Group Alternates, Vol 2 1944-1949
Lester Young	Complete 1936-1951
Lester Young	Complete Lester Young Alternates '44-'49
Lester Young	Complete Live At The Argyle
Lester Young	Essential Masters Of Jazz
Lester Young	In Washington Dc 1956 Vol 1
Lester Young	In Washington Dc 1956 Vol 2
Lester Young	In Washington Dc 1956 Vol 4
Lester Young	In Washington Dc 1956 Vol 5
Lester Young	Jazz Collection
Lester Young	Lester Young Roy Eldridge And Harry Edison - Laughin' To Keep From Cryin' (1958) [Flac]
Lester Young	Lester Young Roy Eldridge And Harry Edison - Laughin' To Keep From Cryin' (1958) [Flac]
Lester Young	Lester Young Trio
Lester Young	Lester Young Trio
Lester Young	Lester Young With The Oscar Peterson Trio
Lester Young	Lester Young'S Disciples
Lester Young	Lester Young, Teddy Wilson Quartet
Lester Young	Lester Young, Teddy Wilson Quartet
Lester Young	Live At Birdland
Lester Young	The Complete 1936-1951 Small Group Seassions Vol.2
Lester Young	The Complete 1936-1951 Small Group Sessions
Lester Young	The Complete 1936-1951 Small Group Sessions Studio Recordings Vol. 7
Lester Young	The Complete 1936-1951 Small Group Sessions Vol. 5
Lester Young	The Complete 1936-1951 Small Group Sessions, Vol. 6 (Rare Ite
Lester Young	The Complete Savoy Recordings [Disc 2]
Lester Young	The Complete Savoy Recordings [Disc1]
Lester Young	The Complete Studio Sessions On Verve (1946-1959) [8 Cd Boxset][M@In]
Lester Young	The Complete Studio Sessions On Verve (1946-1959) [8 Cd Boxset][M@In]
Lester Young	The Complete Studio Sessions On Verve (1946-1959) [8 Cd Boxset][M@In]
Lester Young	The Complete Studio Sessions On Verve (1946-1959) [8 Cd Boxset][M@In]
Lester Young	The Complete Studio Sessions On Verve (1946-1959) [8 Cd Boxset][M@In]
Lester Young	The Complete Studio Sessions On Verve (1946-1959) [8 Cd Boxset][M@In]
Lester Young	The Complete Studio Sessions On Verve (1946-1959) [8 Cd Boxset][M@In]
Lester Young	The Complete Studio Sessions On Verve (1946-1959) [8 Cd Boxset][M@In]
Lester Young	The Complete Studio Sessions On Verve (1946-1959) [8 Cd Boxset][M@In]
Lester Young	The Complete Studio Sessions On Verve (1946-1959) [8 Cd Boxset][M@In]
Lester Young	The Complete Studio Sessions On Verve (1946-1959) [8 Cd Boxset][M@In]
Lester Young	The Complete Studio Sessions On Verve (1946-1959) [8 Cd Boxset][M@In]
Lester Young	The _Kansas City_ Sessions
Lester Young, Roy Eldridge, Harry Edison	Laughin' To Keep From Cryin'
Lester Youngs Disciples	Lester Young'S Disciples
Lew Tabackin	Live In Paris
Liam Noble	Close Your Eyes
Liane Carroll	Standard Issue
Lionel Hampton	Hamp'S Boogie
Lionel Hampton	Lionel Hampton At Malibu Beach
Lionel Hampton Quintet	The Lionel Hampton Quintet
Lou Donaldson	Gravy Train
Lou Donaldson	Here 'Tis
Lou Donaldson	Lou Donaldson - Complete 1952 Blue Note Sessions
Lou Donaldson	Lou Takes Off
Lou Donaldson	The Midnight Creeper
Lou Donaldson	The Scorpion_ Live At The Cadillac Club
Louis Armstrong	A Monday Date
Louis Armstrong	Dear Old Southland
Louis Armstrong	Gut Bucket Blues
Louis Armstrong	Mahogany Hall Stomp
